name,position,team,price,total_points,goals,assists
Morgan,4,Southampton,4.5,0,0,0
Orsic,3,Southampton,5.1,1,0,0
Alcaraz,3,Southampton,5.0,38,3,1
Bree,2,Southampton,4.5,4,0,0
Kamaldeen,3,Southampton,4.9,22,0,0
Onuachu,4,Southampton,5.4,11,0,0
Lloris,1,Spurs,5.4,89,0,0
Forster,1,Spurs,3.9,31,0,0
Kane,4,Spurs,11.5,217,24,8
Son,3,Spurs,11.5,131,9,4
Doherty,2,Spurs,4.6,35,1,0
Dier,2,Spurs,5.1,95,2,1
Lucas Moura,3,Spurs,5.8,9,0,0
Davies,2,Spurs,4.7,90,2,3
Højbjerg,3,Spurs,5.4,113,4,5
Winks,3,Spurs,4.4,0,0,0
Sánchez,2,Spurs,4.2,25,0,0
R.Sessegnon,2,Spurs,4.4,35,2,1
Bergwijn,3,Spurs,5.5,0,0,0
Reguilón,2,Spurs,4.2,0,0,0
Tanganga,2,Spurs,3.8,4,0,0
Bentancur,3,Spurs,5.3,71,5,2
Skipp,3,Spurs,4.3,33,1,0
Rodon,2,Spurs,4.0,0,0,0
Romero,2,Spurs,4.9,56,0,1
Bissouma,3,Spurs,4.7,23,0,0
Emerson Royal,2,Spurs,4.8,76,2,2
Kulusevski,3,Spurs,7.8,84,2,6
Scarlett,4,Spurs,4.5,0,0,0
Perišić,2,Spurs,5.3,88,1,7
White,3,Spurs,4.4,1,0,0
Sarr,3,Spurs,4.2,9,0,0
Austin,1,Spurs,3.9,0,0,0
Devine,3,Spurs,4.3,0,0,0
Parrott,4,Spurs,4.5,0,0,0
Richarlison,4,Spurs,8.4,44,0,5
Lenglet,2,Spurs,4.8,54,0,2
Spence,2,Spurs,4.1,4,0,0
Bryan,3,Spurs,5.0,9,0,1
Danjuma,3,Spurs,6.1,10,1,0
Pedro Porro,2,Spurs,4.8,31,2,1
Mundle,3,Spurs,4.5,0,0,0
Abbott,3,Spurs,4.5,0,0,0
Ings,4,West Ham,6.4,85,8,0
Fabianski,1,West Ham,4.9,111,0,0
Ogbonna,2,West Ham,4.4,33,0,0
Cresswell,2,West Ham,4.7,65,0,1
Antonio,4,West Ham,7.0,71,4,3
Lanzini,3,West Ham,5.0,7,0,0
Zouma,2,West Ham,4.4,86,2,1
Masuaku,2,West Ham,4.5,0,0,0
Coufal,2,West Ham,4.0,54,0,2
Benrahma,3,West Ham,5.5,90,5,3
Bowen,3,West Ham,8.0,123,5,8
Vlasic,3,West Ham,5.0,0,0,0
Rice,3,West Ham,4.7,99,3,3
Soucek,3,West Ham,5.0,79,1,2
Fornals,3,West Ham,4.9,54,2,1
Johnson,2,West Ham,4.4,26,0,0
Aguerd,2,West Ham,4.8,42,1,0
Areola,1,West Ham,4.3,7,0,0
Downes,3,West Ham,4.2,21,0,0
Scamacca,4,West Ham,6.6,41,3,0
Emerson,2,West Ham,4.0,33,1,0
Coventry,3,West Ham,4.4,1,0,0
Oko-Flex,3,West Ham,4.4,0,0,0
Cornet,3,West Ham,5.9,11,0,0
Kehrer,2,West Ham,4.3,58,0,3
Paquetá,3,West Ham,5.9,85,4,4
Mubama,4,West Ham,4.5,1,0,0
Anang,1,West Ham,4.0,0,0,0
Hegyi,1,West Ham,3.9,0,0,0
Casey,2,West Ham,4.0,0,0,0
Dawson,2,Wolves,4.8,68,1,1
Jiménez,4,Wolves,6.6,26,0,2
Jonny,2,Wolves,4.3,45,1,0
Sá,1,Wolves,5.0,139,0,0
Neves,3,Wolves,5.2,105,6,1
Hwang,3,Wolves,5.7,44,2,2
Semedo,2,Wolves,5.0,69,0,1
Podence,3,Wolves,5.2,87,6,1
Kilman,2,Wolves,4.3,102,0,1
Cundle,3,Wolves,4.4,0,0,0
Neto,3,Wolves,4.9,31,0,2
Aït-Nouri,2,Wolves,4.1,41,1,0
Fabio Silva,4,Wolves,5.5,0,0,0
Toti,2,Wolves,3.8,24,0,0
Chiquinho,3,Wolves,5.0,0,0,0
Adama,3,Wolves,5.4,57,2,3
Šarkić,1,Wolves,3.9,0,0,0
Mosquera,2,Wolves,3.9,0,0,0
Moutinho,3,Wolves,4.6,55,0,2
Collins,2,Wolves,4.3,46,0,0
Smith,1,Wolves,3.9,0,0,0
Bueno,2,Wolves,3.8,41,0,1
Hodge,3,Wolves,4.3,4,0,0
Ronan,3,Wolves,4.4,1,0,0
Campbell,3,Wolves,4.4,5,0,0
Guedes,3,Wolves,5.8,29,1,1
Matheus,3,Wolves,4.8,72,1,1
Kalajdžić,4,Wolves,5.3,1,0,0
Diego Costa,4,Wolves,5.3,29,1,0
Traoré,3,Wolves,4.3,12,0,1
Fraser,4,Wolves,4.5,0,0,0
Griffiths,3,Wolves,4.4,0,0,0
Lembikisa,2,Wolves,4.0,1,0,0
Cunha,4,Wolves,5.3,34,2,0
Lemina,3,Wolves,4.5,25,0,1
Sarabia,3,Wolves,5.1,24,1,0
Bentley,1,Wolves,4.0,0,0,0
João Gomes,3,Wolves,4.5,16,1,0
